attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18,attr19,attr20,attr21,target
65,6,2532,166,125,0.6,0.8,38998,80415,6.19,20.16,27.35,36.13,1,21.36,22.75,61.88,183.83,1,342,1036602,81
26,39,1722,139,114,0.2,0.2,163304,47725,14.6,18.4,18,0,13.4,0.4,0.4,21.6,37,1,229,1016514,91
3,1,544,80,27,1,0.4,368791,4454,0,0,0,0,0.4,0,0,49.4,70.6,2.4,850,1716526,96
60,31,6355,358,264,6,13.8,251366,242337,0,0,0,0,0,13.6,25.4,439.2,593,3.8,3155,1653723,62
2,1,237,20,19,0.2,0.2,9384,10394,0,0,0,0,0,0,0,17.64,17.03,1,6368,1852585,98
2,1,1806,125,86,0.4,0.6,55432,53360,0.8,0.8,0.8,0,0.6,1,1.2,33.87,38.48,1,180,1129489,93
5,1,2879,309,414,2.6,4.2,113841,52053,0,0,0,0,0,1.4,2.8,116.2,201.8,4.4,1722,1698174,87
20,4,2581,322,165,0.4,0.4,32867,12276,0,0,0,0,0,19,22.8,26.6,97,3.4,3887,1414698,90
11,2,1820,112,84,2.6,2.2,17805,17394,0,0,0,0,0.2,2.2,2.2,117.6,204.4,1.4,558,1021718,93
80,64,3594,390,263,2,7.41,543460,115695,17.03,39.88,84.57,160.12,14.23,22.85,45.49,151.3,297.8,2.5,206,1041760,77
0,0,1376,38,67,0.2,0.2,4051,31919,0.8,1,1,0,0.6,23.4,23.4,15.6,74.8,1.2,262,1750968,96
5,0,2392,234,182,1.4,1.6,352015,308529,18.76,65.67,132.14,256.09,0,31.54,61.28,69.66,113.77,2,123,1057613,85
2,1,3985,235,135,0.8,2.6,8082,67275,4.4,7.6,6,0,0.8,0.4,0.4,38.6,64.2,1.2,235,1129376,89
31,43,2638,113,95,0.4,2.2,128196,125266,2.8,3,3,0,0.6,3.4,6.8,33.6,57.8,2.4,250,1542064,91
8,3,819,84,105,1.2,1,123070,102258,0,0,0,0,0.2,14.4,27,66.4,115.6,1,459,1063021,93
46,57,2290,270,180,2.6,4.8,399432,25519,2.2,2.4,3.2,1.4,7.6,5.2,6,156.2,280.8,1,236,1100771,85
0,0,174,10,10,0.2,0.2,1016,4634,0,0,0,0,0,0.6,1,15.6,16.8,1,1827,1781192,98
0,0,1228,57,72,0.2,0.2,10301,108556,0,0,0,0,0,0.2,0.4,13.2,16.8,1.8,6800,1860962,95
4,1,3133,285,168,1.2,1.6,106492,21962,1.8,2.2,9.6,47.4,1,14.4,29.2,79.6,142.4,1,159,1101843,89
2,0,574,95,46,1.59,1.59,50802,21976,0,0,0,0,0,2.39,3.59,141.43,134.86,2.2,896,1784027,86
8,2,4784,416,240,1.2,1.6,442876,110453,7.82,24.85,79.16,129.06,0.4,35.27,48.7,106.81,329.86,2.4,205,1011407,77
14,2,2429,115,104,2.4,4,201506,61210,0,0,0,0,0,3,5.8,181,262.8,2.8,1024,1543222,88
11,2,1687,76,115,0.4,0.4,76103,93789,0,0,0,0,0.6,9.22,9.22,42.89,83.57,1,631,1068366,93
10,6,2502,226,83,0.8,1.6,319639,286931,0,0,0,0,0,1.2,2.4,47.4,71.6,3.2,3079,1345570,95
3,0,917,74,268,0.6,1.2,80639,66461,0,0,0,0,0,0.4,0.4,58.6,71.2,1.8,1718,1816878,88
2,0,2990,198,139,0.2,0.2,54856,115878,0,0,0,0,0,1.2,1.4,28.8,43.2,4.8,548,1019227,89
0,0,201,26,25,0.2,0.2,587,8785,0,0,0,0,0,0.2,0.4,15.6,17.2,1,1308,1745672,97
45,4,2415,116,65,11.4,11.8,111258,24508,0,0,0,0,0.2,0.8,0.8,396.8,768.4,791,77,23,0
1,0,1139,85,43,0.2,0.2,25711,5372,0,0,0,0,0,2,2,15.6,16.8,1.8,492,1742376,92
51,1,4103,279,205,11.4,32.4,174616,60155,7,19.2,44.8,78.4,0.4,6.4,9.8,391.8,749.2,2,155,1089586,61
7,2,6741,458,380,2,2.2,129326,509497,17.37,57.29,93.21,179.84,0.8,68.06,79.84,147.11,342.32,1,267,986973,70
29,43,985,111,87,1.2,1.2,277901,23626,1,1.2,1.2,0,1.6,43.6,43.8,85.8,188.8,3,298,1054046,91
4,1,3256,591,502,1.6,3.4,343778,335048,1,1,1,0,0.4,2,2.2,79.8,120.4,2.3,289,1129867,85
13,19,746,39,19,0.2,0.2,107834,10108,0,0,0,0,0,0,0,17,21,1.4,553,1752816,96
10,0,4690,495,465,7.4,2.6,249492,58996,5.4,10.4,7.6,0,0.4,0,0,359.6,520.4,4.2,3782,1720078,74
11,16,161,10,18,0.2,0.2,8627,10411,0,0,0,0,0,0,0,15.4,16.8,1,7306,1873272,97
1,0,2907,185,161,0.2,0.2,5274,77481,0,0,0,0,0.4,8,8,15.4,33.6,1.2,153,1064822,91
1,0,371,53,85,0.2,0.2,8026,81321,0,0,0,0,0,0,0,16.8,18.6,2.2,6601,1706384,96
2,1,199,19,18,0.4,0.4,31182,11487,0,0,0,0,0,0,0,36.8,40,1,8337,1864566,98
13,8,4349,300,191,2.8,3,96009,70467,0,0,0,0,0,2.8,3.2,129,236.8,2.2,772,993909,83
53,1,4919,189,149,0.99,2.58,333491,64310,1.98,8.13,12.1,14.48,1.79,6.75,8.13,112.1,105.16,3.2,150,1504125,86
2,0,3952,272,185,2.4,4.19,108374,56949,7.39,11.18,22.16,41.32,0.4,4.59,5.19,116.97,256.29,1,173,983393,85
9,0,1356,176,89,1.2,1.4,642889,434490,0,0,0,0,1.2,9.8,18.6,129.2,203,406,88,12,0
1,1,218,15,36,0.2,0.2,11913,29452,0,0,0,0,0,0.8,1.6,15.4,16.8,1,7451,1876208,99
1,0,214,30,32,0.2,0.2,2422,6393,0,0,0,0,0,0.2,0.2,17.37,20.96,2,489,1738949,93
0,0,2358,254,186,0.2,0.2,128305,68723,3.4,5.6,5.4,0,0.2,5.4,5.6,21.6,97.8,1.7,275,1018675,90
1,0,2184,278,135,0.4,0.4,339524,188087,0,0,0,0,0,12.2,12.4,42.4,66.2,5,2834,1604205,92
3,0,982,153,24,0.2,0.2,144680,5430,0,0,0,0,0,0,0,46.8,71.4,2.4,4038,1716050,95
0,0,1290,67,78,0.2,0.2,5529,31271,0.4,0.4,0.4,0,0,1,1,15.2,29,1,230,1046680,96
1,0,1493,47,64,0.2,0.2,18589,12370,0.4,0.6,0.6,0,0,0.8,1.4,17.6,25.6,2.4,165,1709802,96
1,0,1136,108,53,0.6,0.6,139798,33742,0,0,0,0,0,1,1,44.2,56.6,1.6,505,1748077,88
9,2,2363,217,143,6.99,20.96,170241,56440,2.59,7.58,25.15,65.27,1.2,14.77,23.75,242.51,442.32,1.3,117,1112195,75
14,4,3441,404,348,6.4,2,194491,41018,3.8,6.6,13.4,19.2,1,2,4,329,471.2,3.6,187,1710275,81
5,0,1363,202,149,1.2,1,8169,26982,0,0,0,0,0,0.8,0.8,78.2,90.2,2,538,978795,92
1,1,1762,77,93,0.2,0.2,6978,56709,2.2,13.6,42,73.6,0.2,43,43,15.6,87,1.6,127,1129587,91
